CodSuc,CodPro,Mesano,Formpg,Grupos,Nomsuc,Detall,Nomgpo,Fdesde,Fhasta,Cantid,Venta Bruta,Descto,Valiva,Venta Neta,Vrun55,Costo,Utilidad Bruta,Margen Bruto,Bascul,Marca,Comodin,Tipo Proveedor
10000,1,2401,EF,Efectivo,Av19,Impuesto A La Bolsa,,20240101,20241231,22,2200,0,0,2200,20,440,1760,40000,N,SIN MARCA,132,PROVEEDORES
10000,1,2401,LB,Legalización Bono,Av19,Impuesto A La Bolsa,,20240101,20241231,1,100,0,0,100,20,20,80,40000,N,SIN MARCA,132,PROVEEDORES
10000,1,2401,TJ,Tarjeta,Av19,Impuesto A La Bolsa,,20240101,20241231,74,7400,0,0,7400,20,1480,5920,40000,N,SIN MARCA,132,PROVEEDORES
10000,1,2402,DF,Diferencia PVP,Av19,Impuesto A La Bolsa,,20240101,20241231,1,100,0,0,100,20,20,80,40000,N,SIN MARCA,132,PROVEEDORES
10000,1,2402,EF,Efectivo,Av19,Impuesto A La Bolsa,,20240101,20241231,17,1700,0,0,1700,20,340,1360,40000,N,SIN MARCA,132,PROVEEDORES
10000,1,2402,TJ,Tarjeta,Av19,Impuesto A La Bolsa,,20240101,20241231,91,9100,0,0,9100,20,1820,7280,40000,N,SIN MARCA,132,PROVEEDORES
10000,1,2403,DF,Diferencia PVP,Av19,Impuesto A La Bolsa,,20240101,20241231,1,100,0,0,100,20,20,80,40000,N,SIN MARCA,132,PROVEEDORES
10000,1,2403,EF,Efectivo,Av19,Impuesto A La Bolsa,,20240101,20241231,16,1600,0,0,1600,20,320,1280,40000,N,SIN MARCA,132,PROVEEDORES
10000,1,2403,TJ,Tarjeta,Av19,Impuesto A La Bolsa,,20240101,20241231,96,9600,0,0,9600,20,1920,7680,40000,N,SIN MARCA,132,PROVEEDORES
10000,1,2404,BC,Bancolombia,Av19,Impuesto A La Bolsa,,20240101,20241231,4,400,0,0,400,20,80,320,40000,N,SIN MARCA,132,PROVEEDORES
10000,1,2404,EF,Efectivo,Av19,Impuesto A La Bolsa,,20240101,20241231,23,2300,0,0,2300,20,460,1840,40000,N,SIN MARCA,132,PROVEEDORES
10000,1,2404,TJ,Tarjeta,Av19,Impuesto A La Bolsa,,20240101,20241231,109,10900,0,0,10900,20,2180,8720,40000,N,SIN MARCA,132,PROVEEDORES
10000,1,2405,BC,Bancolombia,Av19,Impuesto A La Bolsa,,20240101,20241231,1,100,0,0,100,20,20,80,40000,N,SIN MARCA,132,PROVEEDORES
10000,1,2405,EF,Efectivo,Av19,Impuesto A La Bolsa,,20240101,20241231,10,1000,0,0,1000,20,200,800,40000,N,SIN MARCA,132,PROVEEDORES
10000,1,2405,LK,Link de Pagos,Av19,Impuesto A La Bolsa,,20240101,20241231,1,100,0,0,100,20,20,80,40000,N,SIN MARCA,132,PROVEEDORES
10000,1,2405,TJ,Tarjeta,Av19,Impuesto A La Bolsa,,20240101,20241231,79,7900,0,0,7900,20,1580,6320,40000,N,SIN MARCA,132,PROVEEDORES
10000,1,2406,DF,Diferencia PVP,Av19,Impuesto A La Bolsa,,20240101,20241231,1,100,0,0,100,20,20,80,40000,N,SIN MARCA,132,PROVEEDORES
10000,1,2406,EF,Efectivo,Av19,Impuesto A La Bolsa,,20240101,20241231,10,1000,0,0,1000,20,200,800,40000,N,SIN MARCA,132,PROVEEDORES
10000,1,2406,TJ,Tarjeta,Av19,Impuesto A La Bolsa,,20240101,20241231,85,8500,0,0,8500,20,1700,6800,40000,N,SIN MARCA,132,PROVEEDORES
10000,1,2407,CE,Contraentrega,Av19,Impuesto A La Bolsa,,20240101,20241231,1,100,0,0,100,20,20,80,40000,N,SIN MARCA,132,PROVEEDORES
